relative_path,top_level,filename,extension,category,size_bytes,size_mb,modified_utc
experiments/results/rice/rice_fedavg_iid_resnet18/evaluation/test_confusion_matrix.png,experiments,test_confusion_matrix.png,.png,image,106917,0.102,2026-07-30T14:42:20.936882+00:00
experiments/results/rice/rice_fedavg_iid_resnet18/evaluation/test_per_class_metrics.csv,experiments,test_per_class_metrics.csv,.csv,tabular data,560,0.0005,2026-07-30T14:42:20.946390+00:00
experiments/results/rice/rice_fedavg_iid_resnet18/evaluation/test_predictions.csv,experiments,test_predictions.csv,.csv,tabular data,1683691,1.6057,2026-07-30T14:42:21.053969+00:00
experiments/results/rice/rice_fedavg_iid_resnet18/evaluation/validation_confusion_matrix.csv,experiments,validation_confusion_matrix.csv,.csv,tabular data,230,0.0002,2026-07-30T14:42:21.065128+00:00
experiments/results/rice/rice_fedavg_iid_resnet18/evaluation/validation_confusion_matrix.png,experiments,validation_confusion_matrix.png,.png,image,107804,0.1028,2026-07-30T14:42:21.087164+00:00
experiments/results/rice/rice_fedavg_iid_resnet18/evaluation/validation_per_class_metrics.csv,experiments,validation_per_class_metrics.csv,.csv,tabular data,545,0.0005,2026-07-30T14:42:21.097535+00:00
experiments/results/rice/rice_fedavg_iid_resnet18/evaluation/validation_predictions.csv,experiments,validation_predictions.csv,.csv,tabular data,1734601,1.6542,2026-07-30T14:42:21.228518+00:00
experiments/results/rice/rice_fedavg_iid_resnet18/metrics.json,experiments,metrics.json,.json,structured data,4054,0.0039,2026-07-30T14:42:21.238060+00:00
experiments/results/rice/rice_fedavg_noniid_mobilenetv2/evaluation/evaluation_metrics.json,experiments,evaluation_metrics.json,.json,structured data,464,0.0004,2026-07-30T14:42:21.265829+00:00
experiments/results/rice/rice_fedavg_noniid_mobilenetv2/evaluation/evaluation_summary.csv,experiments,evaluation_summary.csv,.csv,tabular data,198,0.0002,2026-07-30T14:42:21.279618+00:00
experiments/results/rice/rice_fedavg_noniid_mobilenetv2/evaluation/test_confusion_matrix.csv,experiments,test_confusion_matrix.csv,.csv,tabular data,230,0.0002,2026-07-30T14:42:21.310023+00:00
experiments/results/rice/rice_fedavg_noniid_mobilenetv2/evaluation/test_confusion_matrix.png,experiments,test_confusion_matrix.png,.png,image,93541,0.0892,2026-07-30T14:42:21.363345+00:00
experiments/results/rice/rice_fedavg_noniid_mobilenetv2/evaluation/test_evaluation.json,experiments,test_evaluation.json,.json,structured data,1793,0.0017,2026-07-30T14:42:21.374267+00:00
experiments/results/rice/rice_fedavg_noniid_mobilenetv2/evaluation/test_per_class_metrics.csv,experiments,test_per_class_metrics.csv,.csv,tabular data,515,0.0005,2026-07-30T14:42:21.383785+00:00
experiments/results/rice/rice_fedavg_noniid_mobilenetv2/evaluation/test_predictions.csv,experiments,test_predictions.csv,.csv,tabular data,876112,0.8355,2026-07-30T14:42:21.439741+00:00
experiments/results/rice/rice_fedavg_noniid_mobilenetv2/evaluation/validation_confusion_matrix.csv,experiments,validation_confusion_matrix.csv,.csv,tabular data,231,0.0002,2026-07-30T14:42:21.451737+00:00
experiments/results/rice/rice_fedavg_noniid_mobilenetv2/evaluation/validation_confusion_matrix.png,experiments,validation_confusion_matrix.png,.png,image,95328,0.0909,2026-07-30T14:42:21.467233+00:00
experiments/results/rice/rice_fedavg_noniid_mobilenetv2/evaluation/validation_evaluation.json,experiments,validation_evaluation.json,.json,structured data,1801,0.0017,2026-07-30T14:42:21.478518+00:00
experiments/results/rice/rice_fedavg_noniid_mobilenetv2/evaluation/validation_per_class_metrics.csv,experiments,validation_per_class_metrics.csv,.csv,tabular data,518,0.0005,2026-07-30T14:42:21.488821+00:00
